Field,Content
Problem Title,Optimizing Utility Network Layouts (MST)
Description,Connect city infrastructure nodes (power, water, fiber) using minimum total wiring/piping cost. Use Minimum Spanning Tree to avoid cycles and reduce cost.

Input,Number of nodes and edges: 6 8
Input,Edge: 1 2 4
Input,Edge: 1 3 3
Input,Edge: 2 3 2
Input,Edge: 2 4 6
Input,Edge: 3 4 5
Input,Edge: 3 5 7
Input,Edge: 4 6 8
Input,Edge: 5 6 9

Output,Minimum Total Cost: 22
Output,Edges included in MST:
Output,2 3 2
Output,1 3 3
Output,3 4 5
Output,3 5 7
Output,4 6 8
